Abbrev	State
ME	Maine
VT	Vermont
NH	New Hampshire
NY	New York
CT	Connecticut
RI	Rhode Island
NJ	New Jersey
PA	Pennsylvania
DE	Delaware
MD	Maryland
VA	Virginia
NC	North Carolina
SC	South Carolina
GA	Georgia
FL	Florida
KY	Kentucky
WV	West Virginia
OH	Ohio
IN	Indiana
IL	Illinois
WI	Wisconsin
MN	Minnesota
ND	North Dakota
SD	South Dakota
MO	Missouri
AR	Arkansas
LA	Louisiana
MS	Mississippi
AL	Alabama
TN	Tennessee
TX	Texas
KS	Kansas
OK	Oklahoma
NE	Nebraska
MT	Montana
WY	Wyoming
ID	Idaho
CO	Colorado
UT	Utah
AZ	Arizona
NM	New Mexico
CA	California
NV	Nevada
OR	Oregon
WA	Washington
HI	Hawaii
AK	Alaska
IA	Iowa
MI	Michigan
MA	Massachusetts
DC	Washington DC
